distance,spectra_overlap,sca_abs,em,fe
30,80.33536,1.594319447,2.87052,8.130460109
20,80.33536,1.594319447,5.68312,21.27518608
18,80.33536,1.594319447,6.64526,26.11391927
16,80.33536,1.594319447,7.82892,32.29141256
14,80.33536,1.594319447,9.29756,39.786476
12,80.33536,1.594319447,11.1359,48.38627508
10,80.33536,1.594319447,13.45569,57.65869674
8,80.33536,1.594319447,16.39626,65.24050507
6,80.33536,1.594319447,20.0998,63.70770816
4,80.33536,1.594319447,24.59466,33.34815791
2,80.33536,1.594319447,29.39732,0.430345394
50,89.53053,1.911343029,0.87305,1.694063871
40,89.53053,1.911343029,1.40072,3.364541753
30,89.53053,1.911343029,2.56016,7.972393212
20,89.53053,1.911343029,5.3798,21.82746413
18,89.53053,1.911343029,6.36074,27.09910454
16,89.53053,1.911343029,7.57251,33.60335934
14,89.53053,1.911343029,9.07847,41.67769882
12,89.53053,1.911343029,10.95921,51.00099053
10,89.53053,1.911343029,13.31381,61.20006602
8,89.53053,1.911343029,16.25614,69.51497299
6,89.53053,1.911343029,19.89829,68.72470233
4,89.53053,1.911343029,24.3122,36.18675747
2,89.53053,1.911343029,29.66197,0.478126625
50,102.3699,2.819547207,0.74099,1.50089819
40,102.3699,2.819547207,1.26788,3.215488897
30,102.3699,2.819547207,2.44788,8.020098838
20,102.3699,2.819547207,5.33564,22.78790894
18,102.3699,2.819547207,6.34415,28.40809227
16,102.3699,2.819547207,7.59581,35.30109555
14,102.3699,2.819547207,9.16503,43.97625353
12,102.3699,2.819547207,11.15533,53.98321575
10,102.3699,2.819547207,13.71354,65.46172266
8,102.3699,2.819547207,17.05013,76.21139273
6,102.3699,2.819547207,21.46969,77.74322539
4,102.3699,2.819547207,27.45142,43.21656538
2,102.3699,2.819547207,36.27111,0.621449513
