20,25,30,35,40,45,50,55,60,65,70,75,80
9.77E-01,9.36E-01,8.70E-01,8.40E-01,7.93E-01,7.77E-01,5.63E-01,5.45E-01,5.48E-01,4.51E-01,3.85E-01,3.43E-01,2.62E-01
2.29E-02,6.37E-02,1.30E-01,1.60E-01,2.07E-01,2.23E-01,4.37E-01,4.55E-01,4.52E-01,5.49E-01,6.15E-01,6.57E-01,7.38E-01
55,50,45,45,40,35,30,25,20,15,5,-5,-10
