distance,diameter,abs,sca,plasmon,fe
10,65,0.451,0.549,15.0,60.77128134
8,65,0.451,0.549,15.0,59.37554719
6,65,0.451,0.549,15.0,37.9383788
4,65,0.451,0.549,15.0,9.027466492
2,65,0.451,0.549,15.0,0.686431387
50,70,0.385,0.615,5.0,1.972288473
40,70,0.385,0.615,5.0,3.671354125
30,70,0.385,0.615,5.0,8.130460109
20,70,0.385,0.615,5.0,21.27518608
18,70,0.385,0.615,5.0,26.11391927
16,70,0.385,0.615,5.0,32.29141256
14,70,0.385,0.615,5.0,39.786476
12,70,0.385,0.615,5.0,48.38627508
10,70,0.385,0.615,5.0,57.65869674
8,70,0.385,0.615,5.0,65.24050507
6,70,0.385,0.615,5.0,63.70770816
4,70,0.385,0.615,5.0,33.34815791
2,70,0.385,0.615,5.0,0.430345394
50,75,0.343,0.657,-5.0,1.675032843
40,75,0.343,0.657,-5.0,3.340911412
30,75,0.343,0.657,-5.0,8.152961644
20,75,0.343,0.657,-5.0,21.78807053
18,75,0.343,0.657,-5.0,26.90036318
16,75,0.343,0.657,-5.0,33.4187676
14,75,0.343,0.657,-5.0,40.83363502
12,75,0.343,0.657,-5.0,49.96082127
10,75,0.343,0.657,-5.0,56.74358483
8,75,0.343,0.657,-5.0,56.389964
6,75,0.343,0.657,-5.0,36.27115743
4,75,0.343,0.657,-5.0,8.398957261
2,75,0.343,0.657,-5.0,0.566633898
50,80,0.262,0.738,-10.0,1.50089819
40,80,0.262,0.738,-10.0,3.215488897
30,80,0.262,0.738,-10.0,8.020098838
20,80,0.262,0.738,-10.0,22.78790894
18,80,0.262,0.738,-10.0,28.40809227
16,80,0.262,0.738,-10.0,35.30109555
14,80,0.262,0.738,-10.0,43.97625353
12,80,0.262,0.738,-10.0,53.98321575
10,80,0.262,0.738,-10.0,65.46172266
8,80,0.262,0.738,-10.0,76.21139273
6,80,0.262,0.738,-10.0,77.74322539
4,80,0.262,0.738,-10.0,43.21656538
2,80,0.262,0.738,-10.0,0.621449513
